,index,Institute,Academic Program Name,Quota,Category,Gender,Opening Rank,Closing Rank,Round,Course Time,Degree Type,IIT,State
46522,46522,Indian Institute of Technology Bhubaneswar,Metallurgical and Materials Engineering,AI,GEN,Female-only (including Supernumerary),18657,18693,6,4,Bachelor of Technology,1,Odisha
46523,46523,Indian Institute of Technology Bhubaneswar,Metallurgical and Materials Engineering,AI,EWS,Gender-Neutral,2185,2185,6,4,Bachelor of Technology,1,Odisha
46524,46524,Indian Institute of Technology Bhubaneswar,Metallurgical and Materials Engineering,AI,EWS,Female-only (including Supernumerary),3442,3442,6,4,Bachelor of Technology,1,Odisha
46525,46525,Indian Institute of Technology Bhubaneswar,Metallurgical and Materials Engineering,AI,OBC-NCL,Gender-Neutral,4661,5010,6,4,Bachelor of Technology,1,Odisha
46526,46526,Indian Institute of Technology Bhubaneswar,Metallurgical and Materials Engineering,AI,OBC-NCL,Female-only (including Supernumerary),7466,7466,6,4,Bachelor of Technology,1,Odisha
46527,46527,Indian Institute of Technology Bhubaneswar,Metallurgical and Materials Engineering,AI,SC,Gender-Neutral,2170,2429,6,4,Bachelor of Technology,1,Odisha
46528,46528,Indian Institute of Technology Bhubaneswar,Metallurgical and Materials Engineering,AI,SC,Female-only (including Supernumerary),3643,3643,6,4,Bachelor of Technology,1,Odisha
46529,46529,Indian Institute of Technology Bhubaneswar,Metallurgical and Materials Engineering,AI,ST,Gender-Neutral,1269,1269,6,4,Bachelor of Technology,1,Odisha
46530,46530,Indian Institute of Technology Bhubaneswar,Metallurgical and Materials Engineering,AI,ST,Female-only (including Supernumerary),99P,99P,6,4,Bachelor of Technology,1,Odisha
46531,46531,Indian Institute of Technology Kanpur,Statistics and Data Science,AI,GEN,Gender-Neutral,817,1082,6,4,Bachelor of Science,1,Uttar Pradesh
46532,46532,Indian Institute of Technology Bhubaneswar,Metallurgical and Materials Engineering,AI,GEN,Female-only (including Supernumerary),21645,21645,6,5,Bachelor and Master of Technology (Dual Degree),1,Odisha
46533,46533,Indian Institute of Technology Bhubaneswar,Metallurgical and Materials Engineering,AI,EWS,Gender-Neutral,2248,2248,6,5,Bachelor and Master of Technology (Dual Degree),1,Odisha
46534,46534,Indian Institute of Technology Bhubaneswar,Metallurgical and Materials Engineering,AI,OBC-NCL,Gender-Neutral,5277,5316,6,5,Bachelor and Master of Technology (Dual Degree),1,Odisha
46535,46535,Indian Institute of Technology Bhubaneswar,Metallurgical and Materials Engineering,AI,OBC-NCL,Female-only (including Supernumerary),8961,8961,6,5,Bachelor and Master of Technology (Dual Degree),1,Odisha
46536,46536,Indian Institute of Technology Bhubaneswar,Metallurgical and Materials Engineering,AI,SC,Gender-Neutral,2538,2538,6,5,Bachelor and Master of Technology (Dual Degree),1,Odisha
46537,46537,Indian Institute of Technology Bhubaneswar,Metallurgical and Materials Engineering,AI,ST,Gender-Neutral,1357,1357,6,5,Bachelor and Master of Technology (Dual Degree),1,Odisha
46538,46538,Indian Institute of Technology Hyderabad,Mathematics and Computing,AI,GEN,Gender-Neutral,658,1135,6,4,Bachelor of Technology,1,Telangana
46539,46539,Indian Institute of Technology Bombay,Aerospace Engineering,AI,GEN,Female-only (including Supernumerary),2312,4081,6,4,Bachelor of Technology,1,Maharashtra
46540,46540,Indian Institute of Technology Bombay,Aerospace Engineering,AI,OPEN (PwD),Gender-Neutral,164,164,6,4,Bachelor of Technology,1,Maharashtra
